,values,Group,Cluster
464,-0.910981476911217,Naive,Cluster 1
465,-1.14362194524909,Naive,Cluster 1
466,-0.532608506678483,Naive,Cluster 1
467,-0.58127585962293,Naive,Cluster 1
468,-0.765621065592404,Naive,Cluster 1
469,-0.561723572118214,Naive,Cluster 1
470,-0.855852253410594,Naive,Cluster 1
471,-1.14790068188483,Naive,Cluster 1
472,-1.10725656816408,Naive,Cluster 1
473,-1.06458299301387,Naive,Cluster 1
474,-1.07601470183903,Naive,Cluster 1
475,-1.01391411325272,Naive,Cluster 1
476,-1.25071708228809,Naive,Cluster 1
477,-1.12221532200069,Naive,Cluster 1
478,-0.938022968630484,Naive,Cluster 1
479,-1.12394735663994,Naive,Cluster 1
480,-1.31474013552998,Naive,Cluster 1
481,-1.29093097294347,Naive,Cluster 1
482,-1.16575146303202,Naive,Cluster 1
483,-0.636457838317125,Naive,Cluster 1
484,-0.60583863850637,Naive,Cluster 1
485,-1.25851118740733,Naive,Cluster 1
486,-1.28272926713955,Naive,Cluster 1
487,-1.24161645465325,Naive,Cluster 1
488,-1.03564678746718,Naive,Cluster 1
489,-1.11334673461664,Naive,Cluster 1
490,-1.25630863912748,Naive,Cluster 1
491,-0.976446762813538,Naive,Cluster 1
492,-0.990259514636271,Naive,Cluster 1
493,-1.17022654357339,Naive,Cluster 1
494,-0.925684254102433,Naive,Cluster 1
495,-1.14838741388077,Naive,Cluster 1
496,-1.06764270216121,Naive,Cluster 1
497,-1.25133489771199,Naive,Cluster 1
498,-1.32717738496624,Naive,Cluster 1
499,-1.06437146761789,Naive,Cluster 1
500,-0.813841297591688,Naive,Cluster 1
501,-1.35365759000723,Naive,Cluster 1
502,-0.892815054228751,Naive,Cluster 1
503,-0.211637300691217,Naive,Cluster 1
504,-0.984764122123437,Naive,Cluster 1
505,-1.14526304843517,Naive,Cluster 1
506,-0.825337956158822,Naive,Cluster 1
507,-1.02857154630664,Naive,Cluster 1
508,-1.0398458464847,Naive,Cluster 1
509,-0.941575373958943,Naive,Cluster 1
510,-1.03681224147225,Naive,Cluster 1
511,-1.07514106796593,Naive,Cluster 1
512,-1.54554473266329,Naive,Cluster 1
513,-0.871181350507123,Naive,Cluster 1
514,-0.828724167562434,Naive,Cluster 1
515,-0.989291118189701,Naive,Cluster 1
516,-1.21300022936342,Naive,Cluster 1
517,-0.877828236912852,Naive,Cluster 1
518,-1.16059993990355,Naive,Cluster 1
519,-1.43857094822476,Naive,Cluster 1
520,-0.8935619503855,Naive,Cluster 1
521,-1.21285421210364,Naive,Cluster 1
522,-0.26506416093225,Naive,Cluster 1
523,-1.1291937475231,Naive,Cluster 1
524,-1.14036053717161,Naive,Cluster 1
525,-0.535778550468766,Naive,Cluster 1
526,-0.795823928296171,Naive,Cluster 1
527,-1.01787138318891,Naive,Cluster 1
528,-1.24501855329931,Naive,Cluster 1
529,-1.03535484035445,Naive,Cluster 1
530,-1.05754772427506,Naive,Cluster 1
531,-1.04910561303764,Naive,Cluster 1
532,-0.995091766220532,Naive,Cluster 1
533,-1.12411327253043,Naive,Cluster 1
534,-1.20100568210801,Naive,Cluster 1
535,-0.951169740064325,Naive,Cluster 1
536,-1.09584218645205,Naive,Cluster 1
537,0.340557008632673,Naive,Cluster 1
538,-0.738417803329119,Naive,Cluster 1
539,-0.609074201094613,Naive,Cluster 1
540,-1.06223972587912,Naive,Cluster 1
541,-1.05406566225319,Naive,Cluster 1
542,-0.899278678652569,Naive,Cluster 1
543,-1.26611887945281,Naive,Cluster 1
544,-1.07160353715659,Naive,Cluster 1
545,-0.635556502962698,Naive,Cluster 1
546,-1.011125247462,Naive,Cluster 1
547,-0.992322171945493,Naive,Cluster 1
548,-0.543412273549746,Naive,Cluster 1
549,-0.278520007528811,Naive,Cluster 1
550,-0.618599548964272,Naive,Cluster 1
