"","gene","cluster4"
"Med18","Med18",1
"Med18_1","Med18_1",1
"ENSMUSG00000086997_1","ENSMUSG00000086997_1",1
"Mir5122_1","Mir5122_1",1
"Gm25270","Gm25270",1
"ENSMUSG00000084789_1","ENSMUSG00000084789_1",1
"Ldlrap1_1","Ldlrap1_1",1
"Maco1","Maco1",1
"Rhd","Rhd",1
"Syf2","Syf2",1
"Syf2_1","Syf2_1",1
"ENSMUSG00000086884","ENSMUSG00000086884",1
"Otud3_1","Otud3_1",1
"Otud3_2","Otud3_2",1
"Otud3_3","Otud3_3",1
"ENSMUSG00000103911_10","ENSMUSG00000103911_10",1
"ENSMUSG00000103911_11","ENSMUSG00000103911_11",1
"ENSMUSG00000103911_13","ENSMUSG00000103911_13",1
"ENSMUSG00000103911_14","ENSMUSG00000103911_14",1
"Mad2l2","Mad2l2",1
"Clstn1","Clstn1",1
"1700045H11Rik","1700045H11Rik",1
"Park7","Park7",1
"Gm23405","Gm23405",1
"Uts2_1","Uts2_1",1
"Gm13090","Gm13090",1
"Gpr153_1","Gpr153_1",1
"LOC118568715;Vmn2r123;Vmn2r122;Vmn2r129_1","LOC118568715;Vmn2r123;Vmn2r122;Vmn2r129_1",1
"Cdk6_1","Cdk6_1",1
"ENSMUSG00000091644","ENSMUSG00000091644",1
"Fam133b","Fam133b",1
"Abcb4_2","Abcb4_2",1
"Abcb4_3","Abcb4_3",1
"Tmem243","Tmem243",1
"1500035N22Rik_1","1500035N22Rik_1",1
"Il6_1","Il6_1",1
"Babam2","Babam2",1
"ENSMUSG00000081200_2","ENSMUSG00000081200_2",1
"Grk4_2","Grk4_2",1
"Wfs1_1","Wfs1_1",1
"Fgfbp1_1","Fgfbp1_1",1
"Rbpj","Rbpj",1
"Rbpj_1","Rbpj_1",1
"Rbpj_2","Rbpj_2",1
"Cckar","Cckar",1
"Cckar_1","Cckar_1",1
"Tbc1d19","Tbc1d19",1
"Arap2","Arap2",1
"Dthd1","Dthd1",1
"ENSMUSG00000093029","ENSMUSG00000093029",1
"ENSMUSG00000084544","ENSMUSG00000084544",1
"Slain2","Slain2",1
"Ociad2","Ociad2",1
"Ociad2_1","Ociad2_1",1
"ENSMUSG00000082039","ENSMUSG00000082039",1
"Rest","Rest",1
"Mir5098_1","Mir5098_1",1
"Mir5098_3","Mir5098_3",1
"Polr2b","Polr2b",1
"Ccng2_1","Ccng2_1",1
"ENSMUSG00000067161","ENSMUSG00000067161",1
"Prdm8_1","Prdm8_1",1
"ENSMUSG00000090006_1","ENSMUSG00000090006_1",1
"Plac8_2","Plac8_2",1
"ENSMUSG00000088474_2","ENSMUSG00000088474_2",1
"ENSMUSG00000088474_3","ENSMUSG00000088474_3",1
"Lrrc8d_1","Lrrc8d_1",1
"Lrrc8d_3","Lrrc8d_3",1
"Rps15a-ps5","Rps15a-ps5",1
"ENSMUSG00000095052","ENSMUSG00000095052",1
"Ube2d2b","Ube2d2b",1
"Snord21","Snord21",1
"Gm6588_4","Gm6588_4",1
"Cmklr1","Cmklr1",1
"Iscu","Iscu",1
"Ssh1_2","Ssh1_2",1
"ENSMUSG00000085376_1","ENSMUSG00000085376_1",1
"Pebp1_3","Pebp1_3",1
"Med13l","Med13l",1
"Med13l_1","Med13l_1",1
"Hpd","Hpd",1
"Pitpnm2os1","Pitpnm2os1",1
"ENSMUSG00000029386","ENSMUSG00000029386",1
"Gtf2i","Gtf2i",1
"Baz1b","Baz1b",1
"Ccl26","Ccl26",1
"Ywhag","Ywhag",1
"Sun1","Sun1",1
"ENSMUSG00000098690","ENSMUSG00000098690",1
"ENSMUSG00000098690_1","ENSMUSG00000098690_1",1
"Rnf216","Rnf216",1
"Mtif3_1","Mtif3_1",1
"Mtif3_2","Mtif3_2",1
"Rps10-ps4","Rps10-ps4",1
"Slc7a1_1","Slc7a1_1",1
"Wdr95","Wdr95",1
"ENSMUSG00000090234","ENSMUSG00000090234",1
"Mir29a","Mir29a",1
"ENSMUSG00000086922","ENSMUSG00000086922",1
"ENSMUSG00000080242_1","ENSMUSG00000080242_1",1
