Cluster 1,Cluster 2,Cluster 3,Cluster 4
Adam10,Pomgnt2,Vmn1r81,Igfbp6
Scn11a,Tgm4,ENSMUSG00000109724,Cdc42ep1
ENSMUSG00000098915,Lars2,ENSMUSG00000087492,Lgals1
Khdc3,Ccr9,Fxyd7,Espl1
Nktr,ENSMUSG00000110425,Tmem159,Prr13
Wdr72,Arl5c,Gm10640,ENSMUSG00000087066
Casp1,Scarf1,ENSMUSG00000073985,St3gal6
Casp4,Thra,ENSMUSG00000086184,4930453N24Rik
Tlcd2,Igfbp4,Gm19187,Mx1
ENSMUSG00000084277,Ccr7,Zfp939,Fam3b
Ikzf3,Ssh2,Tspan32,Clcn2
ENSMUSG00000083899,Cyth1,Cd81,Epas1
Adam19,Itk,Mrgpre,Prss30
Med7,Tbc1d16,Pla2g4c,Gm19585
Sar1b,Rab34,Fuom,Stap2
Ccl1,Grm6,Stk32c,Lrg1
ENSMUSG00000082487,Tcf7,1500009L16Rik,Tubb4a
Cd68,Rapgef6,ENSMUSG00000112728,Msrb1
Dusp14,Itgb3,Dram1,D17H6S53E
Eif4enif1,Galnt10,Fam229b,ENSMUSG00000096988
Vmp1,Pik3ip1,ENSMUSG00000085799,H2-Q10
Dusp18,Smtn,Mettl24,Baiap3
Lif,Gm11714,Ikbip,Rps6ka2
Prkca,Kcnj16,ENSMUSG00000112669,Gm5491
ENSMUSG00000084978,Sdk2,ENSMUSG00000112744,Ccdc78
Rnf43,ENSMUSG00000085651,ENSMUSG00000094249,Gm6034
Pld2,Slc16a5,ENSMUSG00000112317,Olfr101
Msi2,Pimreg,Gm18042,Kifc5b
Mmd,Mybbp1a,Spock2,Cdc42ep3
Cpsf4l,Itgae,Bbs10,Slc3a1
Rpl23a-ps2,Eme1,Oprm1,Pim1
ENSMUSG00000086839,Peli1,Aifm2,Rsph1
Actr2,Gm10037,Plagl1,Myo1f
Vps54,ENSMUSG00000084788,ENSMUSG00000111006,Mapre2
ENSMUSG00000085738,ENSMUSG00000085603,Susd2,Camk2a
Hic1,Slc6a19,Gstt3,Reep5
Otx1,Slc12a7,Gstt1,Alpk2
Gm12057,ENSMUSG00000104214,Derl3,Pcdhgb4
Npepps,ENSMUSG00000074800,Dip2a,Arhgap26
Ccl4,ENSMUSG00000090628,Ybey,ENSMUSG00000082287
Trgv3,F12,Plpp2,Ttc39c
Trgc3,Il6st,Atcay,Impact
Trgc2,Emb,Chst11,ENSMUSG00000117380
Trgj2,Actn2,ENSMUSG00002075065,Map3k8
Trgv2,Lhfpl2,ENSMUSG00000087436,Tmem151a
Trgc4,Lyst,Inpp4b,Adrb1
Gfod1,ENSMUSG00000114501,ENSMUSG00000109759,Ctsw
ENSMUSG00000112942,Prxl2c,Zfp612,Spata6l
Fcho2,ENSMUSG00000113735,Gm2869,Kcnk7
Atxn1,Npc2,Atp7b,Insl6
Naip2,Hsp90aa1,Ldhd,Fam204a
Naip5,Rps19-ps6,Lzts1,Ifit3
Naip6,ENSMUSG00000112348,Irf8,Ifit1bl1
A830005F24Rik,Hpcal1,Tm6sf2,Ifit3b
ENSMUSG00000086889,ENSMUSG00000113555,Golga7,Pik3ap1
Fam120a,Tmem63c,ENSMUSG00000109812,Ahnak
BC005537,Rps7,Lpcat2,Rab3il1
Irf4,Ighd,ENSMUSG00000110670,Stx3
Erbin,Ighm,Mt1,Lpxn
Ell2,Myt1l,Dok4,Cyp17a1
1110046J04Rik,Klhdc1,Adgrg1,Gm6967
Arl10,Adam6b,Map10,Borcs7
ENSMUSG00000114893,Spata7,Efnb2,As3mt
Rasa1,Gm30948,ENSMUSG00000110697,ENSMUSG00000080783
ENSMUSG00000074868,ENSMUSG00000114190,ENSMUSG00000110433,ENSMUSG00000097636
ENSMUSG00000113841,Gm19951,Hmox1,4833407H14Rik
Mok,Efcab11,Purg,Gm16299
Grhl1,ENSMUSG00000113687,Dusp4,
ENSMUSG00000114033,Ak7,ENSMUSG00000031884,
Ighg2b,Slc10a1,ENSMUSG00000110597,
Ncapg2,ENSMUSG00000112297,Elmo3,
Rapgef5,Clba1,Tppp3,
Itgb8,Brf1,Ankle1,
Sostdc1,ENSMUSG00000097100,Ctsb,
Crppa,Sptb,Chdh,
