,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
165,165,ENSMUSG00000029765,Plxna4,Down,-19.5296694980648,0.00240550749969635,-51.1441673349416
166,166,ENSMUSG00000000957,Mmp14,Down,-22.0156313237186,0.00517125618679003,-50.3366263435622
167,167,ENSMUSG00000114638,ENSMUSG00000114638,Down,-18.0185334300633,0.00163998313994018,-50.1845096810097
168,168,ENSMUSG00000017009,Sdc4,Down,-21.940987941261,0.00538033141027817,-49.7882917625836
169,169,ENSMUSG00000031283,Chrdl1,Down,-19.5306282371867,0.00307818775172974,-49.0551745308023
170,170,ENSMUSG00000026480,Ncf2,Down,-21.466443015564,0.00523037933575738,-48.9749773240617
171,171,ENSMUSG00000032899,Styk1,Down,-17.6644972284325,0.00189440416025964,-48.0920770264522
172,172,ENSMUSG00000027977,Ndst3,Down,-21.6477112667382,0.00647803253574398,-47.3772473227404
173,173,ENSMUSG00000045591,Olig3,Down,-21.5901770945514,0.0066204626280081,-47.047406683875
174,174,ENSMUSG00000051736,Fam229b,Down,-16.7624826812344,0.00204308019557605,-45.0862941649546
175,175,ENSMUSG00000027695,Pld1,Down,-17.0101183740971,0.00254696375130952,-44.1238598427638
176,176,ENSMUSG00000062037,Olfr285,Down,-21.1942506223661,0.00844375573510211,-43.945522850007
177,177,ENSMUSG00000105228,ENSMUSG00000105228,Down,-21.1417955422909,0.00864253127875514,-43.6231149539943
178,178,ENSMUSG00000097519,4930558J18Rik,Down,-18.8971766066194,0.00608244075255016,-41.8746715106671
179,179,ENSMUSG00000113141,ENSMUSG00000113141,Down,-19.5048678531521,0.00794731849840414,-40.9559193619541
180,180,ENSMUSG00000113012,ENSMUSG00000113012,Down,-17.5557500167904,0.00527103269918467,-39.9938294204553
181,181,ENSMUSG00000030518,Fam189a1,Down,-20.0474416563356,0.010831777955227,-39.3992421258586
182,182,ENSMUSG00000051497,Kcnj16,Down,-20.5030212125775,0.0122498194255797,-39.1991175868527
183,183,ENSMUSG00000022759,Lrrc74b,Down,-19.1997843911019,0.00937028315348169,-38.9419105695647
184,184,ENSMUSG00000033967,Rnf225,Down,-20.2860503968694,0.0139440838239004,-37.6429982844475
185,185,ENSMUSG00000084834,4930565N06Rik,Down,-16.4578593910848,0.00523037933575738,-37.5480600068011
186,186,ENSMUSG00000103546,ENSMUSG00000103546,Down,-20.1223159041292,0.0152052101540174,-36.5825227002897
187,187,ENSMUSG00000081988,Gm15746,Down,-17.1300428620987,0.00810814580195735,-35.8202634826247
188,188,ENSMUSG00000015970,Chdh,Down,-17.5106023331443,0.00980130784091711,-35.1738265545095
189,189,ENSMUSG00000011305,Plin5,Down,-18.3580180320293,0.0121401934222549,-35.1698208677462
190,190,ENSMUSG00000113128,ENSMUSG00000113128,Down,-17.2658227625217,0.00937028315348169,-35.019358146526
191,191,ENSMUSG00000050179,ENSMUSG00000050179,Down,-10.949701785688,0.00118335732018287,-32.0485080382489
192,192,ENSMUSG00000027168,Pax6,Down,-15.9935308316706,0.011865727832765,-30.7988321647355
193,193,ENSMUSG00000113246,ENSMUSG00000113246,Down,-19.0234122894098,0.0277953771686247,-29.6009513048085
194,194,ENSMUSG00000034758,Tle6,Down,-18.9955575041042,0.0279435434376987,-29.5137495514451
195,195,ENSMUSG00000115277,Gm19016,Down,-18.8973542958541,0.0293465978335485,-28.9591039374767
196,196,ENSMUSG00000025936,Gm4956,Down,-6.9669886381373,6.98091750553237e-05,-28.9554143503685
197,197,ENSMUSG00000034145,Tmem63c,Down,-18.7798370630069,0.0317420922149266,-28.1390402509208
198,198,ENSMUSG00000051113,Fam71e1,Down,-8.00184839583843,0.000367888643552387,-27.4806168620136
199,199,ENSMUSG00000106678,ENSMUSG00000106678,Down,-8.57481751158011,0.000659841284255945,-27.2727260046059
200,200,ENSMUSG00000030319,Cand2,Down,-7.63535417845915,0.000409249440458087,-25.8686708608566
201,201,ENSMUSG00000003309,Ap1m2,Down,-15.7341331949168,0.0263788582072871,-24.840168479787
202,202,ENSMUSG00000031886,Ces2e,Down,-18.0484287156834,0.0458011246224802,-24.1690814924586
203,203,ENSMUSG00000112728,ENSMUSG00000112728,Down,-16.3444225522462,0.0413408817679949,-22.6144742541106
204,204,ENSMUSG00000108067,ENSMUSG00000108067,Down,-16.8572263041188,0.0698370269026863,-19.4855082296173
205,205,ENSMUSG00000084081,Gm12057,Down,-15.6011925502265,0.0644983891046113,-18.5724573328717
206,206,ENSMUSG00000023348,Trip6,Down,-8.45838824795274,0.00687736566459124,-18.2919233586188
207,207,ENSMUSG00000035305,Ror1,Down,-16.3722333802912,0.0849025555237988,-17.5359592453961
208,208,ENSMUSG00000018727,Cpsf4l,Down,-16.5855043614766,0.092109224912035,-17.1775549913082
209,209,ENSMUSG00000025648,Pfkfb4,Down,-8.63852910141763,0.0105125335988816,-17.0895382234529
210,210,ENSMUSG00000027890,Gstm4,Down,-8.71774820992408,0.0114590243736394,-16.9198621593709
211,211,ENSMUSG00000037225,Fgf2,Down,-8.02297115013403,0.00798308543167507,-16.8308233345533
212,212,ENSMUSG00000105550,ENSMUSG00000105550,Down,-9.75261689096623,0.019440901012836,-16.6894934500983
213,213,ENSMUSG00000104576,ENSMUSG00000104576,Down,-16.4279446383138,0.0987449668351495,-16.5180524356831
214,214,ENSMUSG00000041729,Coro2b,Down,-8.21841345109879,0.01349527297448,-15.366940084502
215,215,ENSMUSG00000032122,Slc37a2,Down,-5.53014760987979,0.002494465075162,-14.3950990561709
216,216,ENSMUSG00000021013,Ttc8,Down,-8.99772833883404,0.0333875065445418,-13.284390207647
217,217,ENSMUSG00000007379,Dennd2c,Down,-8.0814385310737,0.0278117993959659,-12.572866992165
218,218,ENSMUSG00000106536,ENSMUSG00000106536,Down,-7.06916771228615,0.0176339609559624,-12.3968468432223
219,219,ENSMUSG00000024548,Setbp1,Down,-5.82647268226325,0.00763931980303561,-12.3343240117126
220,220,ENSMUSG00000104629,Trav13n-1,Down,-6.96272132340974,0.017254685032356,-12.2759249750903
221,221,ENSMUSG00000040724,Kcna2,Down,-5.98130584352101,0.00937028315348169,-12.1315673396602
222,222,ENSMUSG00000076831,Trav8-1,Down,-8.63374957870047,0.0422283028168734,-11.8661941046623
223,223,ENSMUSG00000086862,Gm13546,Down,-8.91350454425825,0.0535778781085342,-11.3291934335974
224,224,ENSMUSG00000039396,Neil3,Down,-7.74856862930073,0.0366891847961589,-11.1227753398462
225,225,ENSMUSG00000022041,Chrna2,Down,-8.37080236716552,0.0497552305128522,-10.9085053379173
226,226,ENSMUSG00000028621,Cyb5rl,Down,-6.23297685616109,0.0211503714490374,-10.438254153754
227,227,ENSMUSG00000038214,Bend3,Down,-6.84571757276298,0.0333940294689451,-10.1065462605305
228,228,ENSMUSG00000108353,ENSMUSG00000108353,Down,-7.44309254758101,0.0441165990802029,-10.0883525624067
229,229,ENSMUSG00000023960,Enpp5,Down,-9.04951207982855,0.0773154375449681,-10.0606482897977
230,230,ENSMUSG00000113687,ENSMUSG00000113687,Down,-8.08841703276726,0.0595387419553633,-9.90993134850762
231,231,ENSMUSG00000105941,ENSMUSG00000105941,Down,-5.81937071195573,0.0201195821408404,-9.87187015963094
232,232,ENSMUSG00000083774,ENSMUSG00000083774,Down,-5.5501610582295,0.0169647550745784,-9.82629599932706
233,233,ENSMUSG00000020988,L2hgdh,Down,-6.9180092812395,0.0397281586250987,-9.69145002013486
234,234,ENSMUSG00000041245,Wnk3,Down,-8.22791056789323,0.0684792800337945,-9.58091488183701
235,235,ENSMUSG00000051586,Mical3,Down,-6.20816908179876,0.0287259252657208,-9.57129552273943
236,236,ENSMUSG00000058297,Spock2,Down,-5.53634023705343,0.0206766403280984,-9.32607600434345
237,237,ENSMUSG00000054934,Kcnmb4,Down,-6.46431174279975,0.0402345249780345,-9.02030785711195
238,238,ENSMUSG00000064181,Rab3ip,Down,-2.24018946847504,0.000105849284632593,-8.90545223928168
239,239,ENSMUSG00000036578,Fxyd7,Down,-6.93860455882203,0.0638795529253875,-8.28912158901164
240,240,ENSMUSG00000031258,Xkrx,Down,-7.10883811551844,0.0776088317860401,-7.89144195530346
241,241,ENSMUSG00000064105,Cnnm2,Down,-6.70964075592043,0.0670004642402735,-7.87659615756046
242,242,ENSMUSG00000108526,ENSMUSG00000108526,Down,-6.38300005661418,0.0705617788080515,-7.34958081589402
243,243,ENSMUSG00000005533,Igf1r,Down,-4.3315497042234,0.0245411372168425,-6.97425120650432
244,244,ENSMUSG00000029624,Ptcd1,Down,-3.1533266414885,0.00634562459485499,-6.92951609614321
245,245,ENSMUSG00000102145,ENSMUSG00000102145,Down,-3.89946503896949,0.0222384660910487,-6.44540693523794
246,246,ENSMUSG00000037944,Ccr7,Down,-2.17492174487024,0.00128499682054183,-6.28791179126902
247,247,ENSMUSG00000034349,Smc4,Down,-1.53931067311735,0.000117976607353652,-6.04672649264636
248,248,ENSMUSG00000034842,Art3,Down,-5.28564353516636,0.0800933734987866,-5.7951976153096
249,249,ENSMUSG00000090397,ENSMUSG00000090397,Down,-4.24466942590005,0.0477192000566151,-5.60851076830611
250,250,ENSMUSG00000020183,Cpm,Down,-4.08936222325988,0.0575767887140265,-5.06979728958894
251,251,ENSMUSG00000039384,Dusp10,Down,-2.47604521835125,0.0106546003301378,-4.88390717512327
252,252,ENSMUSG00000024042,Sik1,Down,-3.00667803323731,0.026076083755052,-4.76184928420461
253,253,ENSMUSG00000042029,Ncapg2,Down,-4.0853918019107,0.0987449668351495,-4.10780030551634
254,254,ENSMUSG00000110545,ENSMUSG00000110545,Down,-3.20874107266305,0.0585122376006135,-3.9555861251956
255,255,ENSMUSG00000023927,Satb1,Down,-1.77509956790723,0.00614977391689026,-3.92499516710905
256,256,ENSMUSG00000026581,Sell,Down,-1.76993128356534,0.00626625829601007,-3.89914394037711
257,257,ENSMUSG00000027985,Lef1,Down,-1.6254109178627,0.00531930199385577,-3.69642068506436
258,258,ENSMUSG00000017466,Timp2,Down,-3.03313846084156,0.0676536577797466,-3.54788849980873
259,259,ENSMUSG00000029204,Rhoh,Down,-1.00347081834749,0.000755821778520371,-3.13241503753524
260,260,ENSMUSG00000031933,Izumo1r,Down,-2.43022042170623,0.0595387419553633,-2.97750690194203
