,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
82,82,ENSMUSG00000103703,ENSMUSG00000103703,Down,-27.8092046507526,4.57855290880395e-05,-120.671696487816
83,83,ENSMUSG00000029372,Ppbp,Down,-27.7282436066735,4.81571408346209e-05,-119.71223600203
84,84,ENSMUSG00000111664,ENSMUSG00000111664,Down,-23.3120949461327,7.857493721015e-06,-119.001623070977
85,85,ENSMUSG00000038781,Stap2,Down,-22.6523532170957,8.60792382515825e-06,-114.736470181632
86,86,ENSMUSG00000085735,ENSMUSG00000085735,Down,-20.1458997629231,2.32464299913034e-06,-113.494821950557
87,87,ENSMUSG00000107266,ENSMUSG00000107266,Down,-10.1950999843778,7.73407291655311e-12,-113.283788751757
88,88,ENSMUSG00000100548,ENSMUSG00000100548,Down,-20.9035545476647,3.82968969073254e-06,-113.231135462061
89,89,ENSMUSG00000031502,Col4a1,Down,-21.5038775955516,5.66513232213268e-06,-112.826328676757
90,90,ENSMUSG00000097191,Mm2pr,Down,-22.5383991977431,1.29653918868924e-05,-110.149988027614
91,91,ENSMUSG00000026628,Atf3,Down,-18.5482542547955,3.47627177907893e-06,-101.252810618166
92,92,ENSMUSG00000024749,Tmc1,Down,-25.9940720159845,0.000246483267478375,-93.7921370680066
93,93,ENSMUSG00000073433,Arhgdig,Down,-22.9104628227962,0.000144992540244554,-87.9453475761393
94,94,ENSMUSG00000033900,Map9,Down,-23.2491205076132,0.000178378096803342,-87.1530126055647
95,95,ENSMUSG00000026480,Ncf2,Down,-24.7779530480422,0.000320589575012859,-86.5754218187276
96,96,ENSMUSG00000046223,Plaur,Down,-10.3582284398729,1.25995708897424e-08,-81.8263196899392
97,97,ENSMUSG00000021565,Slc6a19,Down,-9.98622791866763,6.45284206204719e-09,-81.789692869457
98,98,ENSMUSG00000036863,Syde2,Down,-19.8757198914957,8.40006358539174e-05,-81.0078179255282
99,99,ENSMUSG00000097100,ENSMUSG00000097100,Down,-19.4819304942693,7.0629509008548e-05,-80.8697625817311
100,100,ENSMUSG00000023963,Cyp39a1,Down,-18.3108402724873,4.59389201087897e-05,-79.4291148322514
101,101,ENSMUSG00000004110,Cacna1e,Down,-17.4796794553596,3.34374027303801e-05,-78.2349805874183
102,102,ENSMUSG00000113012,ENSMUSG00000113012,Down,-20.4436803057679,0.000209488132021962,-75.2090406269016
103,103,ENSMUSG00000027048,Abcb11,Down,-22.8480952074123,0.000721130903306527,-71.7883928191999
104,104,ENSMUSG00000025330,Padi4,Down,-22.2901465405436,0.000603250434096136,-71.7631793229894
105,105,ENSMUSG00000061769,Klra6,Down,-15.8629492048523,3.29352466899474e-05,-71.1031171335327
106,106,ENSMUSG00000028573,Fggy,Down,-18.6033592865398,0.000162654082503885,-70.4831990372772
107,107,ENSMUSG00000108830,ENSMUSG00000108830,Down,-23.1289006902921,0.00184257595963846,-63.2477043406611
108,108,ENSMUSG00000116659,ENSMUSG00000116659,Down,-22.3553508061338,0.0014976108632493,-63.1449466524459
109,109,ENSMUSG00000104576,ENSMUSG00000104576,Down,-22.9550961598574,0.00208465106473873,-61.5418467504069
110,110,ENSMUSG00000104764,ENSMUSG00000104764,Down,-22.5303579376227,0.00279888408437881,-57.5203437402203
