,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
21,21,ENSMUSG00000001663,Gstt1,Down,-34.3594444640131,1.98756365814598e-13,-436.422632577259
22,22,ENSMUSG00000117380,ENSMUSG00000117380,Down,-40.5854518364079,2.31797170996326e-11,-431.621891724675
23,23,ENSMUSG00000084320,Gm14125,Down,-20.1317621003591,1.63512953946528e-21,-418.467822738546
24,24,ENSMUSG00000032607,Amt,Down,-23.2312843294104,1.88710617672896e-18,-411.756014827691
25,25,ENSMUSG00000030346,Rad51ap1,Down,-23.4270140868013,4.25791739729811e-18,-406.946041145863
26,26,ENSMUSG00000085111,Ascl4,Down,-36.1532314714852,7.50224190218299e-12,-402.197792560019
27,27,ENSMUSG00000074569,Gcnt7,Down,-23.1960882397422,1.16531498670928e-17,-392.792274688251
28,28,ENSMUSG00000028217,Cdh17,Down,-31.3448669251618,1.38633036584204e-12,-371.691609140197
29,29,ENSMUSG00000074272,Ceacam1,Down,-39.3998227540234,1.3849850483647e-09,-349.025493508156
30,30,ENSMUSG00000036223,Ska1,Down,-23.1154813359339,2.03867098258579e-15,-339.58151196486
31,31,ENSMUSG00000105846,ENSMUSG00000105846,Down,-40.4931172734853,1.04503241716755e-08,-323.170314468328
32,32,ENSMUSG00000102960,ENSMUSG00000102960,Down,-35.1978379576145,7.96299680889662e-10,-320.262433474457
33,33,ENSMUSG00000106739,ENSMUSG00000106739,Down,-38.939271368309,6.01977633925711e-09,-320.097151293188
34,34,ENSMUSG00000102620,ENSMUSG00000102620,Down,-27.3709601478157,3.95625711540487e-12,-312.103271296119
35,35,ENSMUSG00000100798,Gm19589,Down,-23.4526378023955,5.36579920906442e-14,-311.22507752067
36,36,ENSMUSG00000060397,Zfp128,Down,-22.0989636752463,6.16791063469585e-14,-291.924258886309
37,37,ENSMUSG00000000617,Grm6,Down,-23.0120973565582,1.41228751339894e-12,-272.695122860018
38,38,ENSMUSG00000042379,Esm1,Down,-22.4001320477943,1.17227508262108e-12,-267.25531389884
39,39,ENSMUSG00000114086,Gm18968,Down,-31.7049795827361,4.37295891777257e-09,-265.029045354893
40,40,ENSMUSG00000058287,Gm12253,Down,-23.124624912406,6.05877039434077e-12,-259.403150973832
41,41,ENSMUSG00000022783,Spag6l,Down,-31.5966644078375,7.0635837102799e-09,-257.543618627733
42,42,ENSMUSG00000080783,ENSMUSG00000080783,Down,-20.0980950212472,3.08641127942714e-13,-251.43814634653
43,43,ENSMUSG00000002108,Nr1h3,Down,-35.8990350942018,1.38480393186521e-07,-246.217542548073
44,44,ENSMUSG00000027827,Kcnab1,Down,-23.3168082066166,3.00482674572983e-11,-245.343666120937
45,45,ENSMUSG00000108269,ENSMUSG00000108269,Down,-23.4187763918538,5.74782712929563e-11,-239.81989304074
46,46,ENSMUSG00000112297,ENSMUSG00000112297,Down,-23.7774222985678,9.13300050900268e-11,-238.71073286055
47,47,ENSMUSG00000024033,Rsph1,Down,-22.4848429980898,2.89935154268818e-11,-236.938510359721
48,48,ENSMUSG00000023809,Rps6ka2,Down,-24.3289542038315,3.08922427755102e-10,-231.372017465078
49,49,ENSMUSG00000024140,Epas1,Down,-23.7269422240823,2.48866875392027e-10,-227.874333852396
50,50,ENSMUSG00000016150,Tenm1,Down,-23.1670582011711,1.38672866396902e-09,-205.213998637345
51,51,ENSMUSG00000100426,ENSMUSG00000100426,Down,-22.4842426760017,1.15434974488922e-09,-200.956574600538
52,52,ENSMUSG00000044177,Wfikkn2,Down,-21.3443236006076,6.3434698715229e-10,-196.318111413566
53,53,ENSMUSG00000106087,ENSMUSG00000106087,Down,-26.1931181551773,3.9495340587721e-08,-193.919548958691
54,54,ENSMUSG00000000303,Cdh1,Down,-23.5568519563189,5.87876307565457e-09,-193.889712188759
55,55,ENSMUSG00000028825,Rhd,Down,-22.4509442552828,2.76670280059043e-09,-192.136022629287
56,56,ENSMUSG00000073802,Cdkn2b,Down,-30.8148232052292,6.23420323890693e-07,-191.212727776958
57,57,ENSMUSG00000044976,Wdr72,Down,-34.2778841586403,3.08278026557849e-06,-188.90738817077
58,58,ENSMUSG00000021069,Pygl,Down,-20.4031668002406,5.52725435189298e-10,-188.882123837116
59,59,ENSMUSG00000101586,ENSMUSG00000101586,Down,-34.2614349318839,3.1215461106809e-06,-188.630792411725
60,60,ENSMUSG00000055216,ENSMUSG00000055216,Down,-33.1303072977093,2.03573473147028e-06,-188.553816019537
61,61,ENSMUSG00000117698,BC037704,Down,-22.6021127540752,5.28934433007351e-09,-187.068604832548
62,62,ENSMUSG00000111947,ENSMUSG00000111947,Down,-22.7442451395285,6.63048045498113e-09,-186.012785400747
63,63,ENSMUSG00000002012,Pnck,Down,-33.6559659531897,3.01572204444737e-06,-185.80141809029
64,64,ENSMUSG00000039055,Eme1,Down,-19.2171416298665,6.08030971346015e-10,-177.106605064764
65,65,ENSMUSG00000085286,Ube4bos3,Down,-22.6483311732619,1.70908265484309e-08,-175.914954368244
66,66,ENSMUSG00000059674,Cdh24,Down,-20.3000975687446,2.17897220795764e-09,-175.834335788516
67,67,ENSMUSG00000063177,Klk1b27,Down,-21.9849818052777,1.00947747116671e-08,-175.789790082064
68,68,ENSMUSG00000048368,Omd,Down,-33.1109130427165,8.20328912672832e-06,-168.402500449516
69,69,ENSMUSG00000107136,ENSMUSG00000107136,Down,-22.9824645612649,5.23999859131591e-08,-167.32771336247
70,70,ENSMUSG00000073985,ENSMUSG00000073985,Down,-26.960452445057,6.84361474737374e-07,-166.203490672239
71,71,ENSMUSG00000108122,ENSMUSG00000108122,Down,-23.9739696371787,1.44472351688288e-07,-163.987112902451
72,72,ENSMUSG00000083307,AA414768,Down,-22.9688184727874,8.16038027554301e-08,-162.809637163626
73,73,ENSMUSG00000114907,ENSMUSG00000114907,Down,-26.5185526311174,8.55742068016016e-07,-160.905484623386
74,74,ENSMUSG00000071202,Ccdc78,Down,-24.4684710557658,2.93766034983005e-07,-159.828014238343
75,75,ENSMUSG00000087492,ENSMUSG00000087492,Down,-23.8100773331354,2.69890115475036e-07,-156.403946013701
76,76,ENSMUSG00000028528,Dnajc6,Down,-23.4609206764737,3.03131523488824e-07,-152.926935651158
77,77,ENSMUSG00000109629,ENSMUSG00000109629,Down,-26.7549072972059,2.01748716403878e-06,-152.374259613949
78,78,ENSMUSG00000049897,Stkld1,Down,-31.9623945273146,1.86373657832998e-05,-151.169835649554
79,79,ENSMUSG00000089679,Gm16299,Down,-22.0445687110139,2.26680983773499e-07,-146.477008631787
80,80,ENSMUSG00000026546,Cfap45,Down,-21.6095164219888,1.89859993090869e-07,-145.249802511777
81,81,ENSMUSG00000106757,ENSMUSG00000106757,Down,-21.85491886171,2.44043537416174e-07,-144.51636537815
82,82,ENSMUSG00000086391,1700042O10Rik,Down,-31.5591675867143,2.7458354850432e-05,-143.951635455243
83,83,ENSMUSG00000047343,Mettl21c,Down,-22.4626253709326,6.59239803780276e-07,-138.840512058098
84,84,ENSMUSG00000035759,Bbs10,Down,-23.2608814268185,1.24993261276314e-06,-137.311620854539
85,85,ENSMUSG00000116311,ENSMUSG00000116311,Down,-22.3892568262516,8.25870422011564e-07,-136.195821489327
86,86,ENSMUSG00000112669,ENSMUSG00000112669,Down,-21.0786732985537,3.75049601257452e-07,-135.449684768107
87,87,ENSMUSG00000102202,ENSMUSG00000102202,Down,-22.58047498006,1.05604741755523e-06,-134.948067032901
88,88,ENSMUSG00000021874,4933413J09Rik,Down,-23.312336611923,2.39237586895101e-06,-131.042620872817
89,89,ENSMUSG00000112381,ENSMUSG00000112381,Down,-22.9125022071103,2.2357281344134e-06,-129.46894981696
90,90,ENSMUSG00000021176,Efcab11,Down,-22.8911032197965,2.21900792388753e-06,-129.422661282862
91,91,ENSMUSG00000016382,Pls3,Down,-21.3944012762827,1.02034691351468e-06,-128.179252535274
92,92,ENSMUSG00000107583,ENSMUSG00000107583,Down,-30.0977525784366,8.32852423132168e-05,-122.78173338239
93,93,ENSMUSG00000028194,Ddah1,Down,-30.0899610977325,8.3791874294311e-05,-122.670696081152
94,94,ENSMUSG00000073407,Gm6034,Down,-22.1394917751192,4.61039025499264e-06,-118.142135553039
95,95,ENSMUSG00000117704,ENSMUSG00000117704,Down,-20.7197639371288,2.34722122475788e-06,-116.640791727275
96,96,ENSMUSG00000029607,Ankrd61,Down,-20.3978506415923,2.83119488600274e-06,-113.167892085253
97,97,ENSMUSG00000086889,ENSMUSG00000086889,Down,-21.8639063891182,6.94302892511048e-06,-112.783890333084
98,98,ENSMUSG00000068744,Psrc1,Down,-22.9119380127253,1.39065392081707e-05,-111.278263733592
99,99,ENSMUSG00000103454,ENSMUSG00000103454,Down,-21.672391677425,8.56015386709174e-06,-109.825244223567
100,100,ENSMUSG00000033060,Lmo7,Down,-21.2386356246829,6.94302892511048e-06,-109.558461717105
101,101,ENSMUSG00000101168,ENSMUSG00000101168,Down,-20.8871010721496,6.29296376268166e-06,-108.636836482674
