,gene,Geneid,genename,change,log2FC,padj,Change Metric
40,40,ENSMUSG00000068874,Selenbp1,Down,-22.6170160266293,5.48642537993426e-11,-232.066654347808
41,41,ENSMUSG00000032611,1700102P08Rik,Down,-21.9654311110683,1.1431864648403e-10,-218.377744529082
42,42,ENSMUSG00000076875,Traj58,Down,-24.047810394294,8.5550656471133e-10,-218.060173662633
43,43,ENSMUSG00000056214,Pard6g,Down,-22.2100537470118,7.51880701046613e-10,-202.641222473791
44,44,ENSMUSG00000102960,ENSMUSG00000102960,Down,-26.4324205132623,2.38819130439014e-08,-201.466082335983
45,45,ENSMUSG00000087347,ENSMUSG00000087347,Down,-22.1466273868102,1.18337115482725e-09,-197.700263406146
46,46,ENSMUSG00000034164,Emid1,Down,-23.2096464237436,3.77293083583198e-09,-195.502305746125
47,47,ENSMUSG00000024600,Slc27a6,Down,-24.5002123087458,1.23384502420373e-08,-193.765794050934
48,48,ENSMUSG00000043126,D830039M14Rik,Down,-29.4291787494253,6.7099686982434e-07,-181.674546046177
49,49,ENSMUSG00000109970,Gm17995,Down,-21.3319329971985,7.01962584555238e-09,-173.933884193068
50,50,ENSMUSG00000085181,Gm12709,Down,-21.372895473759,1.40355611124201e-08,-167.836437102111
51,51,ENSMUSG00000032494,Tdgf1,Down,-21.9566300547519,2.75129377891448e-08,-166.002289876609
52,52,ENSMUSG00000022543,4930451G09Rik,Down,-21.3875565272162,1.94230712554746e-07,-143.54648023327
53,53,ENSMUSG00000074178,ENSMUSG00000074178,Down,-17.1127307760052,4.67620867600452e-09,-142.550863310105
54,54,ENSMUSG00000049130,C5ar1,Down,-26.1056824598102,5.05982399492197e-06,-138.252159330266
55,55,ENSMUSG00000097488,ENSMUSG00000097488,Down,-23.4390367221645,1.74857413970696e-06,-134.945939945911
56,56,ENSMUSG00000074682,Zcchc3,Down,-18.0458825417035,7.43803855094957e-08,-128.640823956939
57,57,ENSMUSG00000047671,Dynlt4,Down,-25.7659642246398,1.29130047569237e-05,-125.969095399689
58,58,ENSMUSG00000102929,ENSMUSG00000102929,Down,-23.8416490826645,5.38661305554772e-06,-125.61412031597
59,59,ENSMUSG00000022178,Ajuba,Down,-23.720015494987,1.33775393560088e-05,-115.60243116752
60,60,ENSMUSG00000034800,Zfp661,Down,-23.7548533036475,1.58699119850397e-05,-114.009648263072
61,61,ENSMUSG00000109244,ENSMUSG00000109244,Down,-18.2145997205815,9.64243174146236e-07,-109.575633563063
62,62,ENSMUSG00000021492,F12,Down,-23.9588769932226,3.19339626487377e-05,-107.713053846279
63,63,ENSMUSG00000055202,Zfp811,Down,-24.4748364660415,4.6085092831659e-05,-106.133648423635
64,64,ENSMUSG00000104947,ENSMUSG00000104947,Down,-19.6045012051747,1.03958413546332e-05,-97.6919811276156
65,65,ENSMUSG00000105550,ENSMUSG00000105550,Down,-15.2686832412744,5.54263021690824e-07,-95.5252201125739
66,66,ENSMUSG00000055494,ENSMUSG00000055494,Down,-19.7207326299522,1.88521412094759e-05,-93.1733487213256
67,67,ENSMUSG00000022408,Fam83f,Down,-22.4129846919685,9.18962008490739e-05,-90.4745500552122
68,68,ENSMUSG00000103403,ENSMUSG00000103403,Down,-23.3598926721391,0.000233450850557713,-84.8385642469548
